user_id,watch_instance_id,watched_at,video_id,duration,watched_duration
269402,26532852,2021-07-18 11:09:50.131880+00:00,1519,712,712
269402,26533633,2021-07-18 11:24:59.209205+00:00,1520,864,851
269402,26533663,2021-07-18 11:25:32.334597+00:00,19990,596,1
269402,27085323,2021-07-28 04:47:12.922880+00:00,2076,569,569
269402,27085789,2021-07-28 04:56:50.545004+00:00,2077,459,459
269402,27086151,2021-07-28 05:05:02.231054+00:00,2100,497,475
269402,26575673,2021-07-19 06:59:38.295350+00:00,1521,795,795
269402,26576696,2021-07-19 07:15:02.636334+00:00,1522,899,899
269402,26628732,2021-07-20 05:27:57.140686+00:00,1523,828,828
269402,26531250,2021-07-18 10:40:48.844632+00:00,1472,725,5
269402,26630833,2021-07-20 06:04:45.275621+00:00,1524,1019,1019
269402,26689000,2021-07-21 06:07:08.252393+00:00,1525,894,856
269402,26748188,2021-07-22 06:22:29.755892+00:00,1768,549,549
269402,26689947,2021-07-21 06:21:40.929040+00:00,1682,830,796
269402,26749276,2021-07-22 06:38:48.764770+00:00,1774,962,962
269402,26749305,2021-07-22 06:39:05.611691+00:00,1775,806,728
269402,26302779,2021-07-14 12:22:25.226232+00:00,4179,603,31
269402,26302940,2021-07-14 12:25:45.737286+00:00,1408,90,90
269402,26342771,2021-07-15 06:58:42.725468+00:00,1435,734,9
269402,26342004,2021-07-15 06:46:49.451622+00:00,1417,644,242
269402,26401720,2021-07-16 06:45:28.719156+00:00,1444,684,684
269402,27218950,2021-07-30 06:41:16.323572+00:00,2224,857,77
269402,27218789,2021-07-30 06:38:43.169084+00:00,2101,647,647
269402,27326728,2021-08-01 06:32:33.896311+00:00,2272,697,697
270260,26164871,2021-07-12 07:22:37.519613+00:00,22246,813,28
271316,26747082,2021-07-22 06:05:00.612564+00:00,32623,590,572
271316,26970181,2021-07-26 05:48:41.173159+00:00,31032,385,385
271316,26971632,2021-07-26 06:12:41.586743+00:00,31033,520,520
271316,26971853,2021-07-26 06:16:43.274707+00:00,31034,634,237
271316,26755148,2021-07-22 08:18:57.370899+00:00,32624,862,862
271316,26752195,2021-07-22 07:24:38.147889+00:00,31024,336,6
271316,26752025,2021-07-22 07:22:02.109439+00:00,31737,459,114
271316,26809614,2021-07-23 07:18:38.453340+00:00,36157,414,141
271316,26173151,2021-07-12 09:58:37.987317+00:00,36914,1270,19
271316,26867561,2021-07-24 07:08:29.877816+00:00,31031,450,450
271316,26752207,2021-07-22 07:24:53.712346+00:00,31026,319,4
271316,26217199,2021-07-13 05:21:57.870277+00:00,31091,103,18
271316,26752011,2021-07-22 07:21:50.573614+00:00,31733,521,7
271316,26808748,2021-07-23 07:04:38.136244+00:00,34638,858,98
271316,26217178,2021-07-13 05:21:34.069666+00:00,31022,371,34
271316,27376701,2021-08-02 05:38:21.728626+00:00,36158,773,773
271316,27433078,2021-08-03 03:56:03.364435+00:00,36915,583,28
271316,26216661,2021-07-13 05:11:39.543955+00:00,34626,1219,1219
271316,27346104,2021-08-01 12:56:57.352116+00:00,34627,501,501
271316,27376619,2021-08-02 05:36:43.705379+00:00,34628,914,800
271316,27382204,2021-08-02 07:17:05.409692+00:00,34629,692,666
271316,26752272,2021-07-22 07:25:58.055756+00:00,32625,849,9
271566,26177517,2021-07-12 11:03:01.331239+00:00,22247,389,110
271953,27233028,2021-07-30 10:50:48.319009+00:00,47948,129,129
271953,27092275,2021-07-28 06:55:05.050540+00:00,46816,1004,974
271953,27095646,2021-07-28 07:44:39.410267+00:00,47171,4461,1376
271953,27232921,2021-07-30 10:49:05.158465+00:00,48110,877,2
271953,27234126,2021-07-30 11:08:39.468585+00:00,47719,917,0
271953,27401636,2021-08-02 12:44:09.078629+00:00,48162,1741,1741
271953,27403565,2021-08-02 13:22:28.487889+00:00,48163,1659,1659
271953,27403582,2021-08-02 13:22:49.165805+00:00,48441,2035,2024
271953,27406975,2021-08-02 14:19:41.151046+00:00,48316,139,125
271953,27440243,2021-08-03 06:11:48.439563+00:00,47859,3585,1369
271953,27290214,2021-07-31 11:18:24.090520+00:00,47947,5055,0
271953,27447182,2021-08-03 07:57:35.352717+00:00,47949,1492,2
271953,27448893,2021-08-03 08:27:35.483042+00:00,48157,3702,3681
272060,26441912,2021-07-16 18:30:09.072236+00:00,4883,710,710
272060,26442024,2021-07-16 18:33:22.530016+00:00,4884,180,180
272060,26953644,2021-07-25 17:06:57.509285+00:00,5128,944,46
272060,26953859,2021-07-25 17:10:37.849460+00:00,5159,667,231
272060,26263887,2021-07-13 17:42:09.529966+00:00,20509,290,244
272060,26441464,2021-07-16 18:18:16.362015+00:00,4882,662,86
272060,26610922,2021-07-19 17:03:16.736888+00:00,4933,700,583
272060,26689792,2021-07-21 06:19:15.013241+00:00,19439,76,31
272060,26202743,2021-07-12 17:47:00.031711+00:00,4649,80,17
272060,26203532,2021-07-12 18:04:06.250683+00:00,4650,1010,1010
272060,26203541,2021-07-12 18:04:21.082882+00:00,4651,713,30
272060,26259958,2021-07-13 16:37:03.959674+00:00,19477,281,160
272060,26245849,2021-07-13 13:04:20.630980+00:00,19476,843,157
272060,26262750,2021-07-13 17:22:22.922671+00:00,19563,671,671
272060,26263426,2021-07-13 17:34:07.878082+00:00,19564,702,702
272060,26263645,2021-07-13 17:37:51.097586+00:00,19565,395,221
272060,26263967,2021-07-13 17:43:40.516877+00:00,21759,481,210
272060,26264110,2021-07-13 17:46:03.810475+00:00,20244,186,38
272060,26291506,2021-07-14 09:05:40.269596+00:00,19686,845,183
272521,27025855,2021-07-27 05:06:09.857405+00:00,5862,691,691
272521,26799279,2021-07-23 04:17:13.505991+00:00,24108,0,163
272521,27027457,2021-07-27 05:37:09.244598+00:00,5863,672,672
272521,26799993,2021-07-23 04:31:10.688001+00:00,5860,1032,1032
272521,27086555,2021-07-28 05:15:02.464362+00:00,5864,938,701
272521,26800808,2021-07-23 04:47:04.954056+00:00,5861,666,630
272521,27377951,2021-08-02 06:01:03.949885+00:00,5865,912,912
273193,26723364,2021-07-21 15:43:16.097347+00:00,5859,369,5
273193,26222662,2021-07-13 06:52:26.637555+00:00,31592,369,231
273814,26525870,2021-07-18 09:06:47.544322+00:00,5868,651,27
273814,26196795,2021-07-12 16:09:57.162104+00:00,24108,0,163
273814,26196818,2021-07-12 16:10:18.598425+00:00,5859,369,369
273814,26200265,2021-07-12 17:05:56.018316+00:00,5861,666,666
273814,26200850,2021-07-12 17:14:59.383488+00:00,5862,691,691
273814,26226411,2021-07-13 07:49:26.070443+00:00,5863,672,592
273814,26671432,2021-07-20 17:43:11.420672+00:00,5869,649,649
273814,26197237,2021-07-12 16:16:33.464311+00:00,5860,1032,1032
273814,26294519,2021-07-14 09:52:36.623285+00:00,5864,938,95
274202,26336198,2021-07-15 05:06:20.196260+00:00,5861,666,666
274202,26465012,2021-07-17 08:04:08.977357+00:00,5862,691,691
274202,26479842,2021-07-17 12:39:59.335795+00:00,5863,672,672
274202,26942973,2021-07-25 13:56:31.359467+00:00,5864,938,938
274202,26193627,2021-07-12 15:22:11.797594+00:00,24108,0,10
274202,26194129,2021-07-12 15:28:42.060298+00:00,5859,369,369
274202,26195971,2021-07-12 15:57:43.316540+00:00,5860,1032,623
275658,26204425,2021-07-12 18:26:56.352372+00:00,22246,813,244
276009,26535144,2021-07-18 11:56:52.770395+00:00,39280,2181,1480
276009,26561619,2021-07-19 01:50:50.967767+00:00,37357,1419,667
276009,26561630,2021-07-19 01:51:18.164237+00:00,37358,3658,518
276009,26561640,2021-07-19 01:51:39.897484+00:00,37359,3526,20
276009,26561654,2021-07-19 01:52:08.300699+00:00,37360,3509,26
276009,27000372,2021-07-26 14:48:11.745920+00:00,38449,3405,1029
276009,27000353,2021-07-26 14:47:55.675205+00:00,40186,1502,397
276009,27001276,2021-07-26 15:00:54.212815+00:00,40184,1674,4
276009,26997307,2021-07-26 14:04:51.568028+00:00,45378,119,34
276009,26503896,2021-07-18 01:28:31.110649+00:00,34649,3405,3405
276009,27026664,2021-07-27 05:21:44.665303+00:00,34650,1866,1866
276009,27123810,2021-07-28 15:50:39.136326+00:00,34651,2098,2098
276009,27123838,2021-07-28 15:50:59.082691+00:00,34652,1954,1954
276009,27426453,2021-08-02 23:51:03.932587+00:00,39278,1647,2
276009,27429362,2021-08-03 02:12:37.037527+00:00,37910,172,31
276009,26490552,2021-07-17 15:40:13.490305+00:00,34648,1263,391
276009,27368661,2021-08-02 02:13:39.165657+00:00,34654,3250,1
276009,27443794,2021-08-03 07:02:48.133456+00:00,36365,2166,138
276009,27444530,2021-08-03 07:14:02.409071+00:00,39270,1810,301
276009,27444558,2021-08-03 07:14:22.954156+00:00,36395,2033,912
276009,27444516,2021-08-03 07:13:53.748627+00:00,34862,287,6
276080,26908622,2021-07-25 01:12:58.400996+00:00,33095,835,0
276080,27076368,2021-07-27 21:39:45.858748+00:00,32852,1032,1032
276080,27366274,2021-08-02 00:34:53.630111+00:00,32821,1291,1291
276080,27366266,2021-08-02 00:34:09.625231+00:00,32820,2062,5
276080,27427643,2021-08-03 01:10:39.077369+00:00,33012,1617,1617
