user_id,attempt_id,started_at,status,no_of_questions,question_attempted
56741,52349679,2021-06-21 13:02:49.750703+00:00,COMPLETE,100,7
56741,52349891,None,CREATE,100,0
56741,52349914,None,PAUSE,50,50
56741,52349934,2021-06-21 13:05:42.150915+00:00,COMPLETE,100,3
80559,52349966,2021-06-21 13:05:51.324471+00:00,COMPLETE,10,10
56741,52350046,None,CREATE,100,0
56741,52350141,2021-06-21 13:08:00.580998+00:00,COMPLETE,100,0
56741,52350171,None,CREATE,100,0
56741,52350182,None,COMPLETE,100,0
56741,52350203,None,CREATE,100,0
80559,52350212,None,PAUSE,10,10
108107,52350289,2021-06-21 13:10:15.661960+00:00,COMPLETE,30,30
108107,52350946,None,CREATE,10,0
108107,52350959,None,CREATE,30,0
112250,52351250,2021-06-21 13:23:01.057647+00:00,COMPLETE,10,10
79799,52352574,2021-06-21 13:42:11.697478+00:00,COMPLETE,100,55
123854,52353229,None,CREATE,10,0
43158,52353714,2021-06-21 13:57:29.971125+00:00,COMPLETE,6,6
43158,52353873,2021-06-21 13:59:25.954217+00:00,COMPLETE,6,6
43158,52354015,2021-06-21 14:01:15.734610+00:00,COMPLETE,6,6
43158,52354159,2021-06-21 14:03:03.514301+00:00,COMPLETE,6,6
79799,52354282,None,CREATE,100,0
43158,52354298,2021-06-21 14:04:47.837250+00:00,COMPLETE,6,6
43158,52354449,2021-06-21 14:06:26.922860+00:00,COMPLETE,6,6
43158,52354603,2021-06-21 14:08:15.749646+00:00,COMPLETE,6,6
56406,52354741,None,CREATE,10,0
43158,52354752,2021-06-21 14:09:52.874465+00:00,COMPLETE,6,6
43158,52354893,2021-06-21 14:11:31.030525+00:00,COMPLETE,6,6
43158,52355017,2021-06-21 14:13:17.826179+00:00,COMPLETE,6,6
43158,52355141,2021-06-21 14:14:57.959856+00:00,COMPLETE,6,6
43158,52355253,2021-06-21 14:16:17.632095+00:00,COMPLETE,6,6
43158,52355356,2021-06-21 14:17:51.658505+00:00,COMPLETE,6,6
43158,52355493,2021-06-21 14:19:38.495430+00:00,COMPLETE,6,6
81042,52355591,2021-07-03 06:28:56.995203+00:00,COMPLETE,20,20
43158,52355640,None,CREATE,6,0
26580,52355768,2021-06-21 14:23:26.915222+00:00,COMPLETE,30,30
105377,52355896,2021-06-21 14:24:44.917667+00:00,COMPLETE,19,19
105377,52356320,None,CREATE,19,0
2610,52356634,None,CREATE,60,0
79799,52356765,2021-06-21 14:35:03.445737+00:00,COMPLETE,100,0
105377,52357055,2021-06-21 14:38:44.901241+00:00,COMPLETE,20,3
88653,52357189,2021-06-21 14:39:47.464213+00:00,COMPLETE,20,20
105377,52357203,None,CREATE,20,0
105377,52357210,None,CREATE,20,0
105377,52357211,None,CREATE,20,0
105377,52357253,2021-06-21 14:40:45.314542+00:00,COMPLETE,100,0
88653,52357914,None,CREATE,20,0
31373,52358700,2021-06-21 14:57:34.905508+00:00,COMPLETE,6,6
31373,52358854,2021-06-21 14:59:35.378865+00:00,COMPLETE,6,6
