user_id,track_slug,subscription_date
111882,K_HSA,2021-06-18
111952,kerala-psc,2021-06-18
112250,MPGOVT,2021-06-18
112250,Spoken_eng_hindi,2021-06-18
113055,kerala-psc,2021-06-22
113055,OP_KWA,2021-07-05
113055,EEE,2021-06-18
113340,Spoken_eng_hindi,2021-06-18
113340,ssc,2021-06-18
114837,Spoken_eng_hindi,2021-06-18
115622,Anb_eng,2021-06-19
115705,ssc,2021-06-19
116092,Spoken_eng_hindi,2021-06-19
117520,Spoken_eng_hindi,2021-06-19
118804,TSPSC,2021-06-24
118804,spoken-english,2021-06-19
118804,APPSC,2021-06-24
118804,Eng_With_Awal,2021-06-19
120725,kerala-psc,2021-06-19
121311,spoken-english,2021-06-19
121434,spoken-english,2021-06-19
121434,KPSC_Driver,2021-06-20
121538,spoken-english,2021-06-19
121538,TNPSC,2021-06-19
121538,Anb_eng,2021-06-19
121538,SE_Junior,2021-06-19
121791,Spoken_eng_hindi,2021-06-19
121949,Group_1,2021-06-19
121949,ssc,2021-06-19
122225,Spoken_eng_hindi,2021-06-19
122886,Eng_Inver_Coc,2021-06-20
123027,APPSC,2021-06-20
123854,Spoken_eng_hindi,2021-06-20
124096,Spoken_eng_hindi,2021-06-20
124499,spoken-english,2021-06-20
124508,BANK-INS,2021-06-20
126073,TNPSC,2021-06-20
126073,ssc,2021-06-20
126290,spoken-english,2021-06-20
126290,Digi_Mark,2021-06-20
126766,Anb_eng,2021-06-20
127049,GATE_Civil,2021-06-20
127675,Spoken_eng_hindi,2021-06-20
127945,eng_car_success,2021-06-20
128150,Staff_Nurse,2021-06-20
128150,Apti_ess,2021-06-20
128155,Eng_Inver_Coc,2021-06-20
128155,KTET,2021-06-20
128927,SE_Junior,2021-06-20
129193,Spoken_eng_hindi,2021-06-20
129363,spoken-english,2021-06-20
129707,spoken-english,2021-07-02
129707,BANK-INS,2021-07-01
129707,Anb_eng,2021-06-20
129707,SE_Junior,2021-06-29
129986,spoken-english,2021-06-20
130203,spoken-english,2021-06-21
131167,BANK-INS,2021-06-21
131167,rrb,2021-06-21
132110,spoken-english,2021-06-21
132548,TNPSC,2021-06-21
134886,kerala-psc,2021-06-26
134886,Civil_Tech,2021-06-21
135474,Spoken_eng_hindi,2021-06-21
135754,TSPSC,2021-06-21
135896,Spoken_eng_hindi,2021-06-21
136202,spoken-english,2021-06-21
136592,Spoken_eng_hindi,2021-06-21
136944,kerala-psc,2021-06-22
136944,K_HSA,2021-07-17
136976,rrb,2021-06-22
137006,TNPSC,2021-06-22
137006,rrb,2021-06-22
137417,rrb,2021-06-22
137700,Group_1,2021-06-22
137700,spoken-english,2021-06-22
137700,Apti_ess,2021-06-22
138201,ssc,2021-06-22
138440,spoken-english,2021-06-22
138440,Anb_eng,2021-06-22
138440,SE_Junior,2021-07-03
139408,BPSC,2021-06-27
139408,ssc,2021-06-22
139721,PCB_Tech,2021-06-22
139721,TSPSC,2021-06-22
139721,HCA_Kerala,2021-07-16
139721,eng_car_success,2021-06-22
139721,spoken-english,2021-06-22
139721,BANK-INS,2021-06-22
139721,PET,2021-06-22
139721,Trade_ML,2021-07-23
139721,Group_2_2A,2021-07-12
139721,TNPSC,2021-06-22
139721,kerala-psc,2021-06-22
139721,BPSC,2021-06-22
