user_uid,date_joined,date_of_first_purhcase
146028,2021-06-23,2021-06-23
146116,2021-06-23,
146428,2021-06-23,
147198,2021-06-23,2021-06-23
147358,2021-06-23,2021-06-23
147750,2021-06-23,2021-06-23
147964,2021-06-23,2021-06-23
148271,2021-06-24,2021-06-25
148303,2021-06-24,2021-06-27
149264,2021-06-24,
149419,2021-06-24,2021-07-25
149670,2021-06-24,
149901,2021-06-24,2021-07-13
149989,2021-06-24,2021-07-22
150098,2021-06-24,
150634,2021-06-24,2021-06-24
150909,2021-06-24,2021-07-13
151341,2021-06-24,2021-06-24
151840,2021-06-24,2021-06-24
152164,2021-06-24,
152458,2021-06-24,2021-06-26
152621,2021-06-24,
153438,2021-06-25,2021-06-25
153686,2021-06-25,
153799,2021-06-25,2021-06-24
154365,2021-06-25,2021-07-06
154650,2021-06-25,2021-06-26
154668,2021-06-25,2021-06-25
154857,2021-06-25,
154908,2021-06-25,2021-07-04
154944,2021-06-25,
156344,2021-06-25,2021-06-25
156464,2021-06-25,
156724,2021-06-25,2021-06-25
157324,2021-06-25,2021-07-06
157791,2021-06-25,2021-06-25
158909,2021-06-26,
159497,2021-06-26,2021-06-25
159777,2021-06-26,2021-06-25
159948,2021-06-26,2021-06-26
160003,2021-06-26,2021-06-26
160547,2021-06-26,
161143,2021-06-26,2021-06-30
161490,2021-06-26,2021-06-26
161619,2021-06-26,2021-07-04
161864,2021-06-26,
162133,2021-06-26,2021-06-25
162231,2021-06-26,
163179,2021-06-26,2021-06-26
165380,2021-06-27,
165524,2021-06-27,
166466,2021-06-27,
166786,2021-06-27,2021-06-27
166909,2021-06-27,
167432,2021-06-27,2021-06-27
167684,2021-06-27,2021-07-02
168195,2021-06-27,2021-06-30
168337,2021-06-28,2021-06-30
168346,2021-06-28,2021-08-01
168564,2021-06-28,
168857,2021-06-28,
168882,2021-06-28,2021-06-28
168940,2021-06-28,2021-06-27
169264,2021-06-28,
169432,2021-06-28,2021-06-28
169928,2021-06-28,2021-06-30
171072,2021-06-28,2021-07-01
171460,2021-06-28,
171625,2021-06-28,
171663,2021-06-28,2021-07-25
171698,2021-06-28,2021-07-04
171726,2021-06-28,2021-06-27
171826,2021-06-28,2021-06-28
172862,2021-06-28,2021-06-28
172873,2021-06-28,
173408,2021-06-29,
173584,2021-06-29,2021-06-29
173886,2021-06-29,2021-07-16
174164,2021-06-29,2021-07-14
174169,2021-06-29,2021-06-29
174489,2021-06-29,
174794,2021-06-29,2021-07-05
175103,2021-06-29,2021-06-29
175229,2021-06-29,2021-06-28
175451,2021-06-29,2021-06-29
175816,2021-06-29,2021-06-29
175823,2021-06-29,2021-06-29
176025,2021-06-29,2021-06-28
176077,2021-06-29,2021-07-01
176107,2021-06-29,2021-06-29
176171,2021-06-29,2021-06-28
176293,2021-06-29,2021-06-29
176576,2021-06-29,
176623,2021-06-29,2021-06-29
176848,2021-06-30,2021-06-29
176926,2021-06-30,2021-06-28
177328,2021-06-30,
177351,2021-06-30,2021-07-05
177795,2021-06-30,2021-06-30
178088,2021-06-30,2021-06-30
178176,2021-06-30,2021-06-29
178208,2021-06-30,2021-06-30
178241,2021-06-30,2021-07-07
178629,2021-06-30,
179089,2021-07-01,
179987,2021-07-01,2021-07-03
180229,2021-07-01,
180992,2021-07-01,
181178,2021-07-01,2021-07-01
181441,2021-07-01,2021-06-30
181788,2021-07-01,2021-06-30
182010,2021-07-01,2021-07-04
182268,2021-07-01,
182544,2021-07-01,2021-07-06
182587,2021-07-01,2021-07-02
182836,2021-07-01,2021-07-01
182960,2021-07-01,2021-07-01
183030,2021-07-01,2021-07-01
183157,2021-07-01,2021-07-02
183234,2021-07-01,2021-07-04
183640,2021-07-01,
185252,2021-07-02,
185364,2021-07-02,
185830,2021-07-02,
186037,2021-07-02,
186100,2021-07-02,
186523,2021-07-02,
186964,2021-07-02,
187071,2021-07-02,
188027,2021-07-02,
188393,2021-07-02,2021-07-02
188711,2021-07-02,2021-07-20
188965,2021-07-02,2021-07-02
189279,2021-07-02,
189736,2021-07-02,
189738,2021-07-02,2021-07-03
189925,2021-07-02,
190166,2021-07-02,
190290,2021-07-02,
190648,2021-07-02,
190771,2021-07-02,2021-07-02
191761,2021-07-03,2021-07-03
191794,2021-07-03,2021-07-02
193247,2021-07-03,
193673,2021-07-03,2021-07-03
194632,2021-07-03,2021-07-06
194975,2021-07-03,2021-07-01
196300,2021-07-03,2021-07-04
196414,2021-07-03,
196684,2021-07-03,2021-07-06
197487,2021-07-03,
197962,2021-07-03,
198631,2021-07-03,
199006,2021-07-03,
199102,2021-07-04,
200109,2021-07-04,2021-07-03
200399,2021-07-04,
200545,2021-07-04,
200700,2021-07-04,
200739,2021-07-04,2021-07-04
201027,2021-07-04,
201210,2021-07-04,2021-07-03
201466,2021-07-04,
201481,2021-07-04,2021-07-06
201710,2021-07-04,2021-07-04
202153,2021-07-04,
202419,2021-07-04,2021-07-04
